"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_parse_price_valid[Subtotal \u20aa332.48-expected21]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","0","test_parse_price_valid[\u20aa332.48-expected18]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","35563","test_scenario[regression-leather-wallets-chromium]","tests","Sun May 24 20:11:24 IDT 2026","broken","Sun May 24 20:11:59 IDT 2026","","test_data_driven","",""
"","0","test_parse_price_valid[+ILS 75.00 delivery-expected17]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","0","test_parse_price_valid[Subtotal (3 items) $50.00-expected10]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","0","test_parse_price_valid[$25-expected2]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","31070","test_cart_subtotal_format[chromium]","tests","Sun May 24 20:06:47 IDT 2026","passed","Sun May 24 20:07:18 IDT 2026","","_z_probe","",""
"","0","test_parse_price_unparseable_raises[Time left: 3d 4h]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","7834","test_probe_cart_il[chromium]","tests","Sun May 24 15:57:18 IDT 2026","passed","Sun May 24 15:57:26 IDT 2026","","_z_probe","",""
"","0","test_parse_price_valid[ILS 25 to ILS 30-expected16]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"Float coercion would corrupt prices like 0.1 + 0.2; ensure the
    parser never drops into float at any stage.","0","test_parse_price_returns_decimal_not_float","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","1","test_parse_price_valid[$10.00 to $25.00-expected9]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","38019","test_scenario[regression-bluetooth-speakers-chromium]","tests","Sun May 24 16:40:52 IDT 2026","broken","Sun May 24 16:41:31 IDT 2026","","test_data_driven","",""
"","0","test_parse_price_valid[US $25.00-expected3]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","81851","test_full_e2e_search_add_assert[chromium]","tests","Mon May 25 12:28:49 IDT 2026","skipped","Mon May 25 12:30:11 IDT 2026","","test_search_under_price","",""
"","0","test_parse_price_valid[$25.00 to $30.00-expected8]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","0","test_parse_price_unparseable_raises[free shipping]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","0","test_parse_price_valid[US $1,234.56-expected6]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","48959","test_probe_cart_subtotal_text[chromium]","tests","Sun May 24 20:05:00 IDT 2026","broken","Sun May 24 20:05:49 IDT 2026","","_z_probe","",""
"","36631","test_probe_cart_url[chromium]","tests","Sun May 24 20:00:29 IDT 2026","passed","Sun May 24 20:01:06 IDT 2026","","_z_probe","",""
"","15900","test_probe_results_dom[chromium]","tests","Sun May 24 14:53:36 IDT 2026","passed","Sun May 24 14:53:51 IDT 2026","","test_z_probe","",""
"","4413","test_cart_text[chromium]","tests","Sun May 24 20:08:19 IDT 2026","passed","Sun May 24 20:08:24 IDT 2026","","_z_probe","",""
"","27955","test_probe_regression_flow[chromium]","tests","Sun May 24 15:27:18 IDT 2026","passed","Sun May 24 15:27:46 IDT 2026","","_z_probe","",""
"","0","test_parse_price_valid[$25.00-expected0]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","0","test_parse_price_unparseable_raises[]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","4354","test_home_loads[chromium]","tests","Mon May 25 12:30:56 IDT 2026","passed","Mon May 25 12:31:01 IDT 2026","","test_smoke","",""
"","0","test_parse_price_valid[$10,000.00-expected7]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","37044","test_scenario[regression-bluetooth-speakers-chromium]","tests","Sun May 24 13:48:53 IDT 2026","broken","Sun May 24 13:49:30 IDT 2026","","test_data_driven","",""
"","0","test_parse_price_valid[US $19.99-expected4]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"Bare numerics without ``$`` are rejected — the parser refuses
    to guess on ambiguous strings like ``""Time left: 3d 4h""`` even
    though they contain digits.","0","test_parse_price_requires_dollar_anchor","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","9492","test_scenario[regression-bluetooth-speakers-chromium]","","Sun May 24 16:40:09 IDT 2026","passed","Sun May 24 16:40:18 IDT 2026","","","",""
"","14779","test_snapshot_results_page[chromium]","tests","Sun May 24 14:54:32 IDT 2026","passed","Sun May 24 14:54:47 IDT 2026","","test_z_probe","",""
"","0","test_parse_price_unparseable_raises[   ]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","0","test_parse_price_unparseable_raises[no price here]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","0","test_parse_price_valid[$ 42.50-expected12]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","0","test_parse_price_valid[ILS 25-expected14]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","0","test_parse_price_valid[\u20aa 332.48-expected19]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","5380","test_probe_cart_subdomain[chromium]","tests","Sun May 24 20:01:39 IDT 2026","passed","Sun May 24 20:01:45 IDT 2026","","_z_probe","",""
"","11333","test_search_returns_results[chromium]","tests","Mon May 25 12:31:01 IDT 2026","passed","Mon May 25 12:31:13 IDT 2026","","test_smoke","",""
"","14055","test_probe_sort_menu[chromium]","tests","Sun May 24 15:01:44 IDT 2026","passed","Sun May 24 15:01:58 IDT 2026","","test_z_probe","",""
"","0","test_parse_price_valid[$0.99-expected1]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","37425","test_scenario[regression-leather-wallets-chromium]","tests","Sun May 24 13:50:10 IDT 2026","broken","Sun May 24 13:50:48 IDT 2026","","test_data_driven","",""
"","0","test_parse_price_valid[Subtotal (12 items) US $1,234.50-expected11]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","28117","test_probe_qualify[chromium]","tests","Sun May 24 15:28:17 IDT 2026","passed","Sun May 24 15:28:45 IDT 2026","","_z_probe","",""
"","0","test_parse_price_valid[$1,234.56-expected5]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","37133","test_scenario[regression-vintage-postcards-chromium]","tests","Sun May 24 13:49:32 IDT 2026","broken","Sun May 24 13:50:09 IDT 2026","","test_data_driven","",""
"","0","test_parse_price_valid[\u20aa 1,486.79-expected20]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"When no ``$`` is present, the parser falls back to the first bare
    numeric token. (Defensive — ResultCard prices always carry ``$``.)","0","test_parse_price_falls_back_to_bare_number_without_dollar","tests.unit","Tue May 19 19:16:23 IDT 2026","passed","Tue May 19 19:16:23 IDT 2026","","test_price_parser","",""
"","0","test_parse_price_valid[NIS 50-expected22]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","0","test_parse_price_valid[ILS 1,486.79-expected15]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","0","test_parse_price_valid[ILS 356.56-expected13]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"``Subtotal (3 items) $50.00`` would parse as 3 if the regex took
    the first number. The $-anchored pattern must win.","0","test_parse_price_dollar_anchor_beats_bare_integers","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","38149","test_scenario[regression-vintage-postcards-chromium]","tests","Sun May 24 16:40:53 IDT 2026","broken","Sun May 24 16:41:31 IDT 2026","","test_data_driven","",""
"","0","test_parse_price_unparseable_raises[Auction ended]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
